Código;Município;Densidade demográfica, 2000;Renda per Capita, 2000;Intensidade da pobreza, 2000;Índice de Desenvolvimento Humano Municipal, 2000;Variacao_Populacao_1991_a_2000;Percentual_Populacao_Urbana;Populacao por Supermercados
150010;Abaetetuba (PA);73.8;102.14;51.04;0.706;0.191651081618978;0.5945598898885457;469.1023622047244
290070;Alagoinhas (BA);175.9;181.26;50.34;0.729;0.1129313737232022;0.8642914793035859;453.2926829268293
430060;Alvorada (RS);2516.1;214.75;40.6;0.768;0.2951297467017726;0.9967222560445296;289.25786163522014
350160;Americana (SP);1359.9;473.23;43.66;0.84;0.1869019760790431;0.9976231290356148;524.6925287356322
150080;Ananindeua (PA);2053.0;187.79;44.05;0.782;0.6100711007110071;0.9976065188061052;614.9515625
520110;Anápolis (GO);266.8;293.89;38.41;0.788;0.203473167960297;0.9725046427269728;297.91623578076525
330010;Angra dos Reis (RJ);146.0;275.66;48.27;0.772;0.3935445419593086;0.9585146796145816;520.7292576419214
520140;Aparecida de Goiânia (GO);1157.6;201.68;37.7;0.764;0.8847285175618966;0.9974880496563532;297.1660777385159
410140;Apucarana (PR);193.6;288.47;33.34;0.799;0.1342569216527813;0.9297207563968208;357.0430463576159
280030;Aracaju (SE);2535.2;352.74;45.03;0.794;0.1471214715875339;1.0;470.4729867482161
350280;Araçatuba (SP);144.6;503.17;35.88;0.848;0.109505798136992;0.9716107152563602;539.0254777070064
170210;Araguaína (TO);28.8;211.51;45.06;0.749;0.2606462395543176;0.93575386899764;161.86409155937054
310350;Araguari (MG);37.0;321.88;36.22;0.815;0.1171192883669467;0.9095259575970346;249.93627450980392
270030;Arapiraca (AL);506.5;129.21;49.99;0.656;0.1306383056129905;0.8170604828762348;228.2325581395349
350320;Araraquara (SP);180.4;441.88;42.36;0.83;0.1438180131387594;0.9512141655386336;440.7512077294686
350330;Araras (SP);161.5;377.92;38.42;0.828;0.1913696703598257;0.9391915236669354;451.0649350649351
350410;Atibaia (SP);231.7;446.24;35.36;0.819;0.2891493699036322;0.8703863432165319;420.0
520025;Águas Lindas de Goiás (GO);549.1;150.35;43.98;0.717;3.439565053108863;0.998458570536947;559.5026455026455
430160;Bagé (RS);20.9;295.2;42.37;0.802;0.0969014084507042;0.8191669403117028;188.51904761904763
310560;Barbacena (MG);144.2;284.79;37.74;0.798;0.1417852212017527;0.908373201549165;393.5379310344828
330040;Barra Mansa (RJ);310.8;286.41;37.46;0.806;0.0448848964006411;0.9670928182813772;277.19642857142856
290320;Barreiras (BA);11.0;229.24;46.09;0.723;0.4232405008635578;0.8781560724768486;459.40418118466897
350550;Barretos (SP);66.2;397.62;33.79;0.802;0.0890749785146833;0.9513727830011643;405.91015625
350570;Barueri (SP);3235.3;494.29;51.67;0.826;0.6503910428601991;1.0;667.5673076923077
350600;Bauru (SP);467.8;500.27;44.08;0.825;0.2104537516468028;0.9822124632985724;445.1605633802817
150140;Belém (PA);1196.0;313.93;43.23;0.806;0.1802937522350312;0.9935499689992456;415.78376623376624
330045;Belford Roxo (RJ);5414.0;182.33;49.45;0.742;0.2060045689351273;1.0;4881.730337078651
310620;Belo Horizonte (MG);6718.0;557.44;40.64;0.839;0.1080928698257217;1.0;391.62456263121067
310670;Betim (MG);875.4;203.22;44.41;0.775;0.7941135174979816;0.972554006684601;837.9098360655738
420240;Blumenau (SC);513.2;462.28;38.16;0.855;0.2398853922474011;0.9241237853694312;648.039603960396
140010;Boa Vista (RR);35.1;299.46;42.39;0.779;0.4461917843777716;0.9826991344581388;139.57411273486431
350750;Botucatu (SP);72.7;426.18;39.69;0.822;0.1933099018300812;0.9601776448211548;608.4606741573034
350760;Bragança Paulista (SP);242.6;397.93;40.89;0.82;0.2518873780964015;0.8885076501027745;290.0951276102088
530010;Brasília (DF);350.9;605.41;42.23;0.844;0.2810903045042952;0.9562941887120664;371.7864781584194
260290;Cabo de Santo Agostinho (PE);340.8;132.01;49.91;0.707;0.2042019584999528;0.8791256201912706;616.8427419354839
330070;Cabo Frio (RJ);314.1;311.03;44.86;0.792;0.7079601923051027;0.8376462610779954;362.3657142857143
430310;Cachoeirinha (RS);2459.3;316.78;44.6;0.813;0.2196156244685072;1.0;239.56347438752783
320120;Cachoeiro de Itapemirim (ES);195.1;275.62;38.75;0.77;0.2318632319688933;0.8886201316338725;294.9055649241147
290570;Camaçari (BA);211.3;163.15;47.57;0.734;0.4231645825816841;0.9547076245772196;502.2577639751553
260345;Camaragibe (PE);2663.1;173.44;44.97;0.747;0.2626880021976512;1.0;990.0153846153846
250400;Campina Grande (PB);549.7;226.09;44.36;0.721;0.1038415179680898;0.9497735913838083;411.2627314814815
