Código;Município;Área (km²);Densidade demográfica, 2000;Distância à capital (km);Esperança de vida ao nascer, 2000;Taxa de fecundidade total, 2000;Renda per Capita, 2000;Índice de Gini, 2000;Intensidade da indigência, 2000;Intensidade da pobreza, 2000;Índice de Desenvolvimento Humano Municipal, 2000;Taxa bruta de freqüência à escola, 2000;Taxa de alfabetização, 2000;Média de anos de estudo das pessoas de 25 anos ou mais de idade, 2000;Populacao;QTD_TOTAL_CNPJ_SUPERMERCADO;Variacao_Populacao_1991_a_2000;Percentual_Populacao_65_anos;Percentual_Populacao_Urbana;Populacao por Supermercados
150010;Abaetetuba (PA);1613.9;73.8;51.18455171;70.77;3.15;102.14;0.59;44.61;51.04;0.706;81.76;80.74;4.28;119152;254.0;0.19165108161897804;0.03934470256479119;0.5945598898885457;469.1023622047244
290070;Alagoinhas (BA);736.8;175.9;93.32022623;65.34;2.95;181.26;0.6;54.63;50.34;0.729;90.61;85.71;5.82;130095;287.0;0.11293137372320228;0.06156270417771628;0.8642914793035859;453.2926829268293
430060;Alvorada (RS);72.9;2516.1;14.83869815;69.98;2.8;214.75;0.45;56.91;40.6;0.768;77.4;94.01;5.86;183968;636.0;0.2951297467017726;0.03937097756131501;0.9967222560445295;289.25786163522014
350160;Americana (SP);133.9;1359.9;114.560278;72.46;1.96;473.23;0.5;77.52;43.66;0.84;87.15;95.62;6.93;182593;348.0;0.18690197607904313;0.06957550398974768;0.9976231290356147;524.6925287356322
150080;Ananindeua (PA);191.4;2053.0;17.74911361;72.19;2.35;187.79;0.54;50.21;44.05;0.782;84.7;94.57;7.01;393569;640.0;0.6100711007110071;0.028040826386224526;0.9976065188061052;614.9515625
520110;Anápolis (GO);1078.2;266.8;50.58020377;70.24;2.24;293.89;0.57;50.41;38.41;0.788;84.35;91.17;6.18;288085;967.0;0.20347316796029702;0.04961382925178333;0.9725046427269729;297.91623578076525
330010;Angra dos Reis (RJ);816.3;146.0;114.1619671;69.14;2.3;275.66;0.55;67.46;48.27;0.772;79.0;91.07;5.93;119247;229.0;0.39354454195930866;0.039632024285726264;0.9585146796145815;520.7292576419214
520140;Aparecida de Goiânia (GO);290.1;1157.6;15.91899083;70.16;2.25;201.68;0.47;48.73;37.7;0.764;81.47;91.29;5.68;336392;1132.0;0.8847285175618966;0.02629075602273538;0.9974880496563533;297.1660777385159
410140;Apucarana (PR);556.8;193.6;304.054759;73.17;2.03;288.47;0.51;41.86;33.34;0.799;82.28;90.44;5.97;107827;302.0;0.13425692165278136;0.060893839205393825;0.9297207563968208;357.0430463576159
280030;Aracaju (SE);181.8;2535.2;0.0;68.72;1.99;352.74;0.64;48.76;45.03;0.794;91.36;89.4;7.53;461534;981.0;0.14712147158753397;0.04808963153310482;1.0;470.4729867482161
350280;Araçatuba (SP);1170.5;144.6;468.7514409;74.52;1.79;503.17;0.63;54.48;35.88;0.848;85.35;93.7;7.18;169254;314.0;0.10950579813699202;0.07532465997849386;0.9716107152563602;539.0254777070064
170210;Araguaína (TO);3920.1;28.8;330.9825693;67.46;2.76;211.51;0.62;53.23;45.06;0.749;88.74;86.59;5.71;113143;699.0;0.26064623955431765;0.03952520261969366;0.9357538689976401;161.86409155937054
310350;Araguari (MG);2741.0;37.0;462.4720875;73.92;2.04;321.88;0.55;53.03;36.22;0.815;82.02;93.13;6.21;101974;408.0;0.11711928836694674;0.06553631317786887;0.9095259575970346;249.93627450980392
270030;Arapiraca (AL);367.5;506.5;101.8724956;64.01;3.31;129.21;0.59;48.71;49.99;0.656;81.08;69.6;3.99;186466;817.0;0.1306383056129905;0.04837879291667114;0.8170604828762348;228.2325581395349
350320;Araraquara (SP);1008.6;180.4;250.8341727;72.17;2.35;441.88;0.53;59.37;42.36;0.83;84.96;94.8;7.35;182471;414.0;0.14381801313875942;0.08028673049416071;0.9512141655386336;440.7512077294686
350330;Araras (SP);645.1;161.5;152.8807345;74.61;2.0;377.92;0.5;50.85;38.42;0.828;82.34;93.0;6.35;104196;231.0;0.19136967035982577;0.06728665207877461;0.9391915236669354;451.06493506493507
350410;Atibaia (SP);479.3;231.7;48.68993286;73.08;2.24;446.24;0.57;64.69;35.36;0.819;75.79;92.0;6.34;111300;265.0;0.28914936990363227;0.06784366576819408;0.8703863432165319;420.0
520025;Águas Lindas de Goiás (GO);191.9;549.1;145.3901733;68.58;3.72;150.35;0.46;56.31;43.98;0.717;70.02;87.24;4.8;105746;189.0;3.439565053108863;0.014837440659693984;0.998458570536947;559.5026455026455
430160;Bagé (RS);5674.1;20.9;310.4581226;72.16;2.22;295.2;0.59;46.72;42.37;0.802;84.88;92.26;6.82;118767;630.0;0.09690140845070427;0.08360908333122836;0.8191669403117028;188.51904761904763
310560;Barbacena (MG);790.1;144.2;157.7094753;72.47;1.93;284.79;0.58;37.68;37.74;0.798;83.48;91.47;6.4;114126;290.0;0.14178522120175274;0.06727651893521196;0.908373201549165;393.53793103448277
330040;Barra Mansa (RJ);548.9;310.8;106.4588371;72.2;2.01;286.41;0.55;53.27;37.46;0.806;86.74;93.56;6.25;170753;616.0;0.044884896400641194;0.05905020702418113;0.9670928182813772;277.19642857142856
290320;Barreiras (BA);11979.5;11.0;708.5418028;63.7;2.76;229.24;0.63;50.44;46.09;0.723;84.77;84.42;5.38;131849;287.0;0.4232405008635578;0.029602044763327746;0.8781560724768486;459.40418118466897
350550;Barretos (SP);1568.0;66.2;387.3515975;69.03;1.78;397.62;0.57;56.62;33.79;0.802;82.76;93.6;6.78;103913;256.0;0.08907497851468338;0.07831551393954558;0.9513727830011645;405.91015625
350570;Barueri (SP);64.3;3235.3;24.79466427;71.35;2.54;494.29;0.69;76.06;51.67;0.826;82.88;93.36;6.45;208281;312.0;0.6503910428601991;0.029162525626437362;1.0;667.5673076923077
350600;Bauru (SP);675.2;467.8;283.4705133;70.46;2.11;500.27;0.59;61.13;44.08;0.825;83.02;94.76;7.45;316064;710.0;0.2104537516468028;0.07253910600384732;0.9822124632985725;445.1605633802817
150140;Belém (PA);1070.1;1196.0;0.0;70.5;1.96;313.93;0.65;49.62;43.23;0.806;88.55;94.96;7.68;1280614;3080.0;0.1802937522350312;0.04689547357751828;0.9935499689992456;415.78376623376624
330045;Belford Roxo (RJ);80.0;5414.0;24.92370652;67.64;2.32;182.33;0.49;63.99;49.45;0.742;78.01;91.99;5.64;434474;89.0;0.2060045689351273;0.04719039574289831;1.0;4881.730337078651
310620;Belo Horizonte (MG);331.9;6718.0;0.0;70.52;1.65;557.44;0.62;55.92;40.64;0.839;87.89;95.38;8.13;2238526;5716.0;0.10809286982572175;0.06222085425856121;1.0;391.62456263121067
310670;Betim (MG);346.8;875.4;30.34710063;71.76;2.5;203.22;0.53;58.78;44.41;0.775;82.74;91.45;5.58;306675;366.0;0.7941135174979816;0.032125213988750304;0.972554006684601;837.9098360655738
420240;Blumenau (SC);510.3;513.2;91.01678655;74.44;1.84;462.28;0.51;69.45;38.16;0.855;89.16;97.21;7.13;261808;404.0;0.23988539224740113;0.05006340524353725;0.9241237853694311;648.039603960396
140010;Boa Vista (RR);5711.9;35.1;0.0;67.11;2.41;299.46;0.58;51.37;42.39;0.779;90.18;91.34;6.73;200568;1437.0;0.4461917843777716;0.025288181564357224;0.9826991344581388;139.57411273486431
350750;Botucatu (SP);1486.4;72.7;198.8421277;71.45;1.98;426.18;0.54;52.58;39.69;0.822;83.96;94.39;7.3;108306;178.0;0.19330990183008123;0.08047568925082636;0.9601776448211549;608.4606741573034
350760;Bragança Paulista (SP);514.8;242.6;66.91925078;73.08;1.88;397.93;0.55;63.81;40.89;0.82;81.66;92.21;6.44;125031;431.0;0.2518873780964015;0.07051051339267862;0.8885076501027745;290.0951276102088
530010;Brasília (DF);5822.1;350.9;0.0;70.37;1.96;605.41;0.64;54.56;42.23;0.844;91.98;94.32;8.25;2051146;5517.0;0.2810903045042952;0.032921108492520765;0.9562941887120663;371.7864781584194
260290;Cabo de Santo Agostinho (PE);448.4;340.8;30.93967788;69.02;2.39;132.01;0.57;51.35;49.91;0.707;80.4;79.5;5.08;152977;248.0;0.20420195849995282;0.04297378037221282;0.8791256201912706;616.8427419354839
330070;Cabo Frio (RJ);404.0;314.1;121.7455188;70.84;2.2;311.03;0.6;57.11;44.86;0.792;81.07;91.68;6.33;126828;350.0;0.7079601923051027;0.04843567666445895;0.8376462610779954;362.36571428571426
430310;Cachoeirinha (RS);43.7;2459.3;15.94803515;72.59;2.37;316.78;0.49;59.52;44.6;0.813;82.87;95.49;6.66;107564;449.0;0.21961562446850724;0.0475716782566658;1.0;239.56347438752783
320120;Cachoeiro de Itapemirim (ES);892.9;195.1;99.83970994;68.92;1.93;275.62;0.54;47.32;38.75;0.77;77.85;91.11;5.99;174879;593.0;0.23186323196889336;0.05953259110585033;0.8886201316338725;294.9055649241147
290570;Camaçari (BA);762.7;211.3;36.47926037;67.45;2.23;163.15;0.6;52.42;47.57;0.734;86.55;87.65;5.48;161727;322.0;0.4231645825816841;0.026711680795414496;0.9547076245772196;502.2577639751553
260345;Camaragibe (PE);48.3;2663.1;11.56314305;70.66;2.18;173.44;0.58;47.09;44.97;0.747;85.48;84.26;5.52;128702;130.0;0.2626880021976512;0.046401765318332275;1.0;990.0153846153846
250400;Campina Grande (PB);644.1;549.7;112.972564;63.47;2.25;226.09;0.64;48.07;44.36;0.721;87.45;82.88;6.19;355331;864.0;0.10384151796808982;0.0654291350881291;0.9497735913838083;411.26273148148147
350950;Campinas (SP);797.6;1213.5;83.5023372;72.22;1.78;614.86;0.58;74.34;50.06;0.852;87.54;95.01;7.87;969396;1969.0;0.14486080093346576;0.0653685387602177;0.9833112577316184;492.3291010665312
500270;Campo Grande (MS);8118.4;81.6;0.0;70.43;2.09;394.71;0.61;51.5;38.35;0.814;86.4;94.01;7.26;663621;2500.0;0.26133473730627266;0.04819919803622851;0.9883864434669789;265.4484
330100;Campos dos Goytacazes (RJ);4037.8;100.6;231.9494839;66.8;2.24;247.2;0.58;42.94;38.29;0.752;80.4;89.92;6.17;406989;1564.0;0.08158335326476918;0.06861856217244201;0.894807967782913;260.22314578005114
430460;Canoas (RS);131.1;2331.9;13.52416787;71.39;2.28;353.17;0.53;58.91;44.7;0.815;84.84;95.64;6.87;306093;1055.0;0.13680187775293584;0.057283243981404344;1.0;290.1355450236967
351060;Carapicuíba (SP);35.0;9819.1;20.56375348;71.35;2.02;275.56;0.48;80.62;51.49;0.793;81.58;93.73;6.0;344596;491.0;0.21481627717592477;0.03058944387050343;1.0;701.8248472505092
320130;Cariacica (ES);285.8;1133.0;10.50675793;67.16;2.21;215.2;0.52;55.89;43.4;0.75;80.65;91.31;5.72;324285;901.0;0.1819818703368239;0.04528115700695376;0.9651386897327968;359.9167591564928
260410;Caruaru (PE);932.0;271.8;123.10058;67.36;2.22;209.76;0.58;48.61;43.14;0.713;75.32;77.41;5.15;253634;428.0;0.18688610509272485;0.06378088111215373;0.8571682030011749;592.6028037383178
410480;Cascavel (PR);2065.8;118.6;423.7437588;69.6;2.27;347.01;0.59;58.93;42.78;0.81;95.1;93.01;6.48;245369;887.0;0.2680437411499623;0.040587849320818846;0.9319555445064373;276.62795941375424
150240;Castanhal (PA);1029.4;130.6;67.02381438;70.63;2.69;162.25;0.57;43.95;42.05;0.746;81.61;87.29;5.6;134496;252.0;0.31767103290846577;0.03875208184630026;0.9015063645015465;533.7142857142857
